tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,6HgtWwOD00qXK0b55Jp-EARKE3GSkxntZ8J0S3mCSON9UOiOVTJv3jWGiw,늙은 이은성,444,171,122,False,False,True,False
GRANDMASTER,zf6CTIU0zbvlXTXrr83y4BOCV1hUQVZ6FyNiukB59ymcR0Pa,Saturday Mornlng,424,663,629,True,False,False,False
GRANDMASTER,TpbFQqET4662uQKJwpY9D8tdN8IH00HvKUmAVCoAjQS9OJ4SqLu5akpFhg,snzy,421,808,782,False,False,True,True
GRANDMASTER,KAfPbCO1bP9cm9acDESsBwDDnIBLrX41ls4P1qPYDs_Nzns,고팡진,424,355,311,False,False,True,False
GRANDMASTER,XIQH_JiNzSgaSinwwrx7n9xCXQzg1gcTj0lOVtlYKSIAqiuT,평범한 숟가락,580,925,879,False,False,False,False
GRANDMASTER,Ej1zVI8BIBM-X7I29ZOSCHeZ2SHQFeieRS-lMkRcTAL4BF1B,미드잘하는정글러,529,998,940,False,False,True,False
GRANDMASTER,lQfHOt636yo9P9R4sOkS7Mu-TU0fZgyJLWUYCN25nGYx6Js,Eslup,448,187,152,False,False,False,False
GRANDMASTER,5XGFjrg__Aijon5wUs9z-t35bpuxG2GJWpo9hLeiJmL_MFTXm7H6QIBNCA,xiaocan  Sakura ,734,492,394,False,False,True,False
GRANDMASTER,b_Q4yOivOICTHMPrbYv4FJaA4n7mNHxbBknZV4yK5-rOGdA,건들지마용,672,564,522,False,False,True,False
GRANDMASTER,MiJW1EjKBYz-S3X9BAknVlWYYC_lIsnd9Q04Litz2fdYrIw,늙은할아버지,457,449,409,False,False,False,False
GRANDMASTER,q3HDmh95bVqCUiHU4Z0dAXWRiX8E-x6QtFncw6THghUhLmNK,언배천판 챗 금지,487,326,294,False,False,True,False
GRANDMASTER,7dmE6SkFUAz5klLnpVusGqkFweZYs7a6rtB1A8ZCJnaBgpA,I HAVE N0 IDEA,637,1096,1042,False,False,True,True
GRANDMASTER,EzIHxgiXGcvo8PJh1CGrglz_Wk_J70zaf-a1RgyzDOG9Zy4,제드팀 빈,509,203,138,False,False,False,False
GRANDMASTER,GiMzCpymWxi6dq3zMJS5B7Pd0U71vJRG-O2L5su90x0kF8s,Homura,429,251,214,False,False,True,True
GRANDMASTER,DYJEoGu7u9CEyep_Kbl5Jc4IBCqsx_XM2pQlpTjZ44MNflQ,아프면살기힘들다,527,284,240,False,False,False,False
GRANDMASTER,Geq3_SqoxMbQw9JzKKmmqMwvCIi42iUjovPQs10HjoeJQ4U,Klaus8,438,713,672,False,False,False,False
GRANDMASTER,3Gd-6vPPS6yFnYA0I5EKpZNbmovCIdd5uODhlM8VIP4L10s,DRX 홍창현,641,720,675,False,False,True,False
GRANDMASTER,s2WWIZBg1B3uhm35DH15ctCZy83OoOj1LQDxWPcnrC7JfqgS,Crucile,581,749,702,False,False,True,True
GRANDMASTER,ySqTYlHtKng1-0sTUX3E5FP57G4zL7NZvYod6gAYQVDWuAWZj936T2_TZw,젤라 귀여워,429,274,234,False,False,True,False
GRANDMASTER,DNR9Ztidoq4oGzsUiLvYv1CgidpHjRztPRLQf7rBNx1bnFrK,Yur1 XD ,503,145,105,False,False,True,False
GRANDMASTER,VxP8-c5bWaJMVklOHrX5SnWX7OP4k0g_Bujq73RPvegNfIQ,오디나무,520,234,187,False,False,False,True
GRANDMASTER,F3--xjxWsylJY1vF-bYMKYkBOwwXzddELaBxmu5PBRJ_soQ, youwillsucceed,675,662,598,False,False,False,False
GRANDMASTER,ePYjgW7DFoUe0PdW-4VnqJtpdmMoNDO23la7NsvctW92qg_NqqsnmTeYRw,cxzdtnksz,499,260,218,False,False,False,False
GRANDMASTER,EzndOhd9lXnpWVZjr0mW3zxzRdW3uGCxeTSOF8BlBPq6lQE,YouTube 짝강,490,333,299,True,False,False,False
GRANDMASTER,qJsCrCgRx-_318syDvQKQN2G89er5s-obirSIY4Ws-nh_Q,원딜 그루밍,421,242,212,False,False,True,True
GRANDMASTER,fEAOZ8ef7fiCuue0spuaw-CCkpWatPLQGMZYIcNqIz1ui_wbr0I3VDNaVA,haoye1,635,664,603,True,False,False,False
GRANDMASTER,tv_KC-yjum5BOLgjw_qsHeQpJc8QvpuoUg2UpLildwJ9kRE,Gen G Peyz,645,1087,1033,False,False,True,True
GRANDMASTER,JNf8gp35OOYddER5OMMtHMe_wNcxdaHd4MM3KCwYWR8Ygg0,약속된 승리의 칼,579,337,276,False,False,False,False
GRANDMASTER,3BeQ-Bn2xfM8SJXYK4UPtyw22kcWtKG2VRodwUVlddVYUxk,원딜도하는정글,437,340,308,False,False,False,False
